Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,5,0.91,0.61,0.481417547
100% Corpus,5,0.91,0.91,0.478540144
100% Corpus,5,0.91,symmetric,0.483568484
100% Corpus,5,symmetric,0.01,0.483412886
100% Corpus,5,symmetric,0.31,0.466305479
100% Corpus,5,symmetric,0.61,0.464298822
100% Corpus,5,symmetric,0.91,0.470888274
100% Corpus,5,symmetric,symmetric,0.478855408
100% Corpus,5,asymmetric,0.01,0.492618238
100% Corpus,5,asymmetric,0.31,0.494661149
100% Corpus,5,asymmetric,0.61,0.456415231
100% Corpus,5,asymmetric,0.91,0.430703909
100% Corpus,5,asymmetric,symmetric,0.492008654
100% Corpus,6,0.01,0.01,0.468011898
100% Corpus,6,0.01,0.31,0.461769599
100% Corpus,6,0.01,0.61,0.48249141
100% Corpus,6,0.01,0.91,0.495707197
100% Corpus,6,0.01,symmetric,0.477622488
100% Corpus,6,0.31,0.01,0.487048872
100% Corpus,6,0.31,0.31,0.484212335
100% Corpus,6,0.31,0.61,0.476286554
100% Corpus,6,0.31,0.91,0.505629432
100% Corpus,6,0.31,symmetric,0.493210525
100% Corpus,6,0.61,0.01,0.483840247
100% Corpus,6,0.61,0.31,0.47590256
100% Corpus,6,0.61,0.61,0.470796552
100% Corpus,6,0.61,0.91,0.482552339
100% Corpus,6,0.61,symmetric,0.475889121
100% Corpus,6,0.91,0.01,0.501171295
100% Corpus,6,0.91,0.31,0.4824552
100% Corpus,6,0.91,0.61,0.47613438
100% Corpus,6,0.91,0.91,0.486943549
100% Corpus,6,0.91,symmetric,0.487307533
100% Corpus,6,symmetric,0.01,0.483314811
100% Corpus,6,symmetric,0.31,0.47224301
100% Corpus,6,symmetric,0.61,0.454584843
100% Corpus,6,symmetric,0.91,0.470144148
100% Corpus,6,symmetric,symmetric,0.498948537
100% Corpus,6,asymmetric,0.01,0.506587118
100% Corpus,6,asymmetric,0.31,0.49202467
100% Corpus,6,asymmetric,0.61,0.491910292
100% Corpus,6,asymmetric,0.91,0.43897419
100% Corpus,6,asymmetric,symmetric,0.532874002
100% Corpus,7,0.01,0.01,0.469639296
100% Corpus,7,0.01,0.31,0.44602987
100% Corpus,7,0.01,0.61,0.428237718
100% Corpus,7,0.01,0.91,0.459864749
100% Corpus,7,0.01,symmetric,0.458064676
100% Corpus,7,0.31,0.01,0.478063114
100% Corpus,7,0.31,0.31,0.443770141
100% Corpus,7,0.31,0.61,0.471292015
100% Corpus,7,0.31,0.91,0.475927376
100% Corpus,7,0.31,symmetric,0.467654163
100% Corpus,7,0.61,0.01,0.48770888
100% Corpus,7,0.61,0.31,0.472533822
100% Corpus,7,0.61,0.61,0.476924105
100% Corpus,7,0.61,0.91,0.491381093
100% Corpus,7,0.61,symmetric,0.486686769
100% Corpus,7,0.91,0.01,0.486275841
100% Corpus,7,0.91,0.31,0.485816443
100% Corpus,7,0.91,0.61,0.489621563
100% Corpus,7,0.91,0.91,0.492195754
100% Corpus,7,0.91,symmetric,0.497915564
100% Corpus,7,symmetric,0.01,0.463833497
100% Corpus,7,symmetric,0.31,0.433692773
100% Corpus,7,symmetric,0.61,0.459056157
100% Corpus,7,symmetric,0.91,0.445965538
100% Corpus,7,symmetric,symmetric,0.452905463
100% Corpus,7,asymmetric,0.01,0.506336669
100% Corpus,7,asymmetric,0.31,0.481852856
100% Corpus,7,asymmetric,0.61,0.471283858
100% Corpus,7,asymmetric,0.91,0.440215625
100% Corpus,7,asymmetric,symmetric,0.496023296
100% Corpus,8,0.01,0.01,0.473032013
100% Corpus,8,0.01,0.31,0.434552068
100% Corpus,8,0.01,0.61,0.471119884
100% Corpus,8,0.01,0.91,0.476379212
100% Corpus,8,0.01,symmetric,0.489965179
100% Corpus,8,0.31,0.01,0.485738351
100% Corpus,8,0.31,0.31,0.496616823
100% Corpus,8,0.31,0.61,0.448479643
100% Corpus,8,0.31,0.91,0.500392223
100% Corpus,8,0.31,symmetric,0.492378591
100% Corpus,8,0.61,0.01,0.489080229
100% Corpus,8,0.61,0.31,0.475603886
100% Corpus,8,0.61,0.61,0.471134039
100% Corpus,8,0.61,0.91,0.489103444
100% Corpus,8,0.61,symmetric,0.486499748
100% Corpus,8,0.91,0.01,0.505336459
100% Corpus,8,0.91,0.31,0.482546954
100% Corpus,8,0.91,0.61,0.484844604
100% Corpus,8,0.91,0.91,0.48863945
100% Corpus,8,0.91,symmetric,0.492045185
100% Corpus,8,symmetric,0.01,0.477840057
100% Corpus,8,symmetric,0.31,0.438806535
100% Corpus,8,symmetric,0.61,0.48660043
100% Corpus,8,symmetric,0.91,0.494426208
100% Corpus,8,symmetric,symmetric,0.465400696
100% Corpus,8,asymmetric,0.01,0.505035724
100% Corpus,8,asymmetric,0.31,0.483983235
100% Corpus,8,asymmetric,0.61,0.468773479
100% Corpus,8,asymmetric,0.91,0.41510148
100% Corpus,8,asymmetric,symmetric,0.52503417
100% Corpus,9,0.01,0.01,0.483789707
100% Corpus,9,0.01,0.31,0.444797843
100% Corpus,9,0.01,0.61,0.499077229
100% Corpus,9,0.01,0.91,0.441731848
100% Corpus,9,0.01,symmetric,0.467622108
100% Corpus,9,0.31,0.01,0.488485488
100% Corpus,9,0.31,0.31,0.46518082
100% Corpus,9,0.31,0.61,0.514621783
100% Corpus,9,0.31,0.91,0.515018004
100% Corpus,9,0.31,symmetric,0.4989027
100% Corpus,9,0.61,0.01,0.486754784
100% Corpus,9,0.61,0.31,0.486744274
100% Corpus,9,0.61,0.61,0.49561625
100% Corpus,9,0.61,0.91,0.491979984
100% Corpus,9,0.61,symmetric,0.485263967
100% Corpus,9,0.91,0.01,0.507302527
100% Corpus,9,0.91,0.31,0.491505617
100% Corpus,9,0.91,0.61,0.478919289
100% Corpus,9,0.91,0.91,0.470106001
100% Corpus,9,0.91,symmetric,0.494526188
100% Corpus,9,symmetric,0.01,0.485145187
100% Corpus,9,symmetric,0.31,0.481466761
100% Corpus,9,symmetric,0.61,0.455763454
100% Corpus,9,symmetric,0.91,0.494537917
100% Corpus,9,symmetric,symmetric,0.488084132
100% Corpus,9,asymmetric,0.01,0.478632549
100% Corpus,9,asymmetric,0.31,0.501163353
100% Corpus,9,asymmetric,0.61,0.50907575
100% Corpus,9,asymmetric,0.91,0.509954975
100% Corpus,9,asymmetric,symmetric,0.48819303
100% Corpus,10,0.01,0.01,0.470409148
100% Corpus,10,0.01,0.31,0.483331366
100% Corpus,10,0.01,0.61,0.454976647
100% Corpus,10,0.01,0.91,0.468535477
100% Corpus,10,0.01,symmetric,0.481044135
100% Corpus,10,0.31,0.01,0.496845163
100% Corpus,10,0.31,0.31,0.47405595
100% Corpus,10,0.31,0.61,0.498211463
100% Corpus,10,0.31,0.91,0.499164742
100% Corpus,10,0.31,symmetric,0.499721338
100% Corpus,10,0.61,0.01,0.488387772
100% Corpus,10,0.61,0.31,0.483530328
100% Corpus,10,0.61,0.61,0.456869571
100% Corpus,10,0.61,0.91,0.482202338
100% Corpus,10,0.61,symmetric,0.492271423
100% Corpus,10,0.91,0.01,0.50333837
100% Corpus,10,0.91,0.31,0.501320775
100% Corpus,10,0.91,0.61,0.487614148
100% Corpus,10,0.91,0.91,0.47528568
100% Corpus,10,0.91,symmetric,0.500337907
100% Corpus,10,symmetric,0.01,0.475509588
100% Corpus,10,symmetric,0.31,0.490021702
100% Corpus,10,symmetric,0.61,0.47051753
100% Corpus,10,symmetric,0.91,0.478432167
100% Corpus,10,symmetric,symmetric,0.472135908
100% Corpus,10,asymmetric,0.01,0.48244553
100% Corpus,10,asymmetric,0.31,0.481269054
100% Corpus,10,asymmetric,0.61,0.489761027
100% Corpus,10,asymmetric,0.91,0.447042691
100% Corpus,10,asymmetric,symmetric,0.506103082
